candidate,reference,frame,status,Dmax,candidateN,referenceN,witness
quality-dem-canyon-b50000-classic-t1,quality-dem-canyon-b50000-dod-t8,2,paired,0.3881374352048234,50000.0,49996.0,1012374
quality-dem-canyon-b50000-classic-t1,quality-dem-canyon-b50000-dod-t8,48,paired,1.304512053934559e-13,49999.0,49999.0,1053576
quality-dem-canyon-b50000-classic-t1,quality-dem-canyon-b50000-dod-t8,80,paired,2.509104035652854e-13,50000.0,50000.0,1406180
quality-dem-canyon-b50000-classic-t1,quality-dem-canyon-b50000-dod-t8,95,paired,2.509104035652854e-13,50000.0,50000.0,1406180
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-b50000-dod-t8,2,paired,4.636922599457437,50000.0,49996.0,1501038
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-b50000-dod-t8,48,paired,8.972326903505774,50000.0,49999.0,1574874
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-b50000-dod-t8,80,paired,1.7298481579334128,50000.0,50000.0,5826
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-b50000-dod-t8,95,paired,1.7298481579334128,50000.0,50000.0,5826
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-cbt-a16,2,paired,1.698302310091277,50000.0,48.0,90440
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-cbt-a16,48,paired,8.889741087030721,50000.0,26716.0,1574406
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-cbt-a16,80,paired,1.8222778489919405,50000.0,34973.0,1083780
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-cbt-a16,95,paired,1.8222778489919405,50000.0,34973.0,1083780
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-cbt-a4,2,paired,1.698302310091277,50000.0,48.0,90440
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-cbt-a4,48,unpaired,,,,
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-cbt-a4,80,unpaired,,,,
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-cbt-a4,95,unpaired,,,,
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-cbt-a8,2,paired,1.698302310091277,50000.0,48.0,90440
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-cbt-a8,48,unpaired,,,,
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-cbt-a8,80,unpaired,,,,
quality-dem-canyon-b50000-transactional-t8,quality-dem-canyon-cbt-a8,95,unpaired,,,,
quality-dem-sierra-b50000-classic-t1,quality-dem-sierra-b50000-dod-t8,2,paired,1.5841147837925007e-13,8845.0,8845.0,1505612
quality-dem-sierra-b50000-classic-t1,quality-dem-sierra-b50000-dod-t8,48,paired,5.6354226840582555e-14,12085.0,12085.0,621552
quality-dem-sierra-b50000-classic-t1,quality-dem-sierra-b50000-dod-t8,80,paired,5.936917624183025e-14,15919.0,15919.0,766024
quality-dem-sierra-b50000-classic-t1,quality-dem-sierra-b50000-dod-t8,95,paired,5.936917624183025e-14,15919.0,15919.0,766024
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-b50000-dod-t8,2,paired,1.5537155359378003,8874.0,8845.0,1562350
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-b50000-dod-t8,48,paired,1.9558631424549464,8960.0,12085.0,1555662
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-b50000-dod-t8,80,paired,1.1335683595362047,8976.0,15919.0,864998
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-b50000-dod-t8,95,paired,1.1335683595362047,8976.0,15919.0,864998
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-cbt-a16,2,paired,0.9518523351292658,8874.0,48.0,197235
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-cbt-a16,48,paired,1.8790204417777552,8960.0,22496.0,1567956
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-cbt-a16,80,paired,1.0109108254249526,8976.0,28643.0,1414702
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-cbt-a16,95,paired,1.0109108254249526,8976.0,28643.0,1414702
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-cbt-a4,2,paired,0.9518523351292658,8874.0,48.0,197235
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-cbt-a4,48,unpaired,,,,
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-cbt-a4,80,unpaired,,,,
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-cbt-a4,95,unpaired,,,,
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-cbt-a8,2,paired,0.9518523351292658,8874.0,48.0,197235
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-cbt-a8,48,paired,2.0150113677757817,8960.0,41522.0,1561810
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-cbt-a8,80,paired,1.1143330968123293,8976.0,56100.0,1203174
quality-dem-sierra-b50000-transactional-t8,quality-dem-sierra-cbt-a8,95,paired,1.1143330968123293,8976.0,56100.0,1203174
quality-generated-ridge-b50000-classic-t1,quality-generated-ridge-b50000-dod-t8,2,paired,1.473204509907589e-13,5553.0,5553.0,1551476
quality-generated-ridge-b50000-classic-t1,quality-generated-ridge-b50000-dod-t8,48,paired,1.3869873131955313e-13,7999.0,7999.0,239632
quality-generated-ridge-b50000-classic-t1,quality-generated-ridge-b50000-dod-t8,80,paired,1.656320164026522e-13,8458.0,8458.0,1329144
quality-generated-ridge-b50000-classic-t1,quality-generated-ridge-b50000-dod-t8,95,paired,1.1927264000860218e-13,8264.0,8264.0,1391940
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-b50000-dod-t8,2,paired,1.000953324038427,5467.0,5553.0,627374
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-b50000-dod-t8,48,paired,1.1639868221757,5593.0,7999.0,626750
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-b50000-dod-t8,80,paired,1.1313153536394243,5655.0,8458.0,920366
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-b50000-dod-t8,95,paired,1.0599546927807537,5747.0,8264.0,626750
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-cbt-a16,2,paired,0.8547835578550631,5467.0,48.0,996785
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-cbt-a16,48,paired,1.0837080435388957,5593.0,25662.0,627374
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-cbt-a16,80,paired,1.1313153536394243,5655.0,24990.0,920366
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-cbt-a16,95,paired,0.9989609493606059,5747.0,25574.0,920366
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-cbt-a4,2,paired,0.8547835578550631,5467.0,48.0,996785
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-cbt-a4,48,paired,1.1639868221757,5593.0,101264.0,626750
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-cbt-a4,80,paired,1.1313153536394243,5655.0,98461.0,920366
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-cbt-a4,95,paired,1.0097030213220775,5747.0,100869.0,920366
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-cbt-a8,2,paired,0.8547835578550631,5467.0,48.0,996785
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-cbt-a8,48,paired,1.1639868221757,5593.0,50943.0,626750
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-cbt-a8,80,paired,1.1313153536394243,5655.0,49577.0,920366
quality-generated-ridge-b50000-transactional-t8,quality-generated-ridge-cbt-a8,95,paired,0.9989622685830665,5747.0,50744.0,920366
quality-peking547-b100000-classic-t1,quality-peking547-b100000-dod-t8,2,paired,0.0037550995948095293,100000.0,99999.0,76
quality-peking547-b100000-classic-t1,quality-peking547-b100000-dod-t8,15,paired,9.197937550498025e-15,100000.0,100000.0,1119302
quality-peking547-b100000-classic-t1,quality-peking547-b100000-dod-t8,16,paired,0.0,100000.0,99999.0,0
quality-peking547-b100000-classic-t1,quality-peking547-b100000-dod-t8,23,paired,0.0037550995948095293,100000.0,99999.0,76
quality-peking547-b100000-transactional-t8,quality-peking547-b100000-dod-t8,2,paired,2.386520885425125e-13,99999.0,99999.0,1770000
quality-peking547-b100000-transactional-t8,quality-peking547-b100000-dod-t8,15,paired,1.977369318373242,99999.0,100000.0,1790800
quality-peking547-b100000-transactional-t8,quality-peking547-b100000-dod-t8,16,paired,0.16294103758673711,99999.0,99999.0,21439
quality-peking547-b100000-transactional-t8,quality-peking547-b100000-dod-t8,23,paired,0.16294103758673711,99999.0,99999.0,21439
quality-peking547-b100000-transactional-t8,quality-peking547-cbt-a16,2,paired,0.227526219202572,99999.0,48.0,186454
quality-peking547-b100000-transactional-t8,quality-peking547-cbt-a16,15,paired,1.903045576647985,99999.0,45112.0,1774405
quality-peking547-b100000-transactional-t8,quality-peking547-cbt-a16,16,paired,0.24771315769429503,99999.0,34582.0,215903
quality-peking547-b100000-transactional-t8,quality-peking547-cbt-a16,23,paired,0.24237128557735238,99999.0,45844.0,1192014
quality-peking547-b100000-transactional-t8,quality-peking547-cbt-a4,2,paired,0.227526219202572,99999.0,48.0,186454
quality-peking547-b100000-transactional-t8,quality-peking547-cbt-a4,15,paired,1.9719572047441427,99999.0,130269.0,1790801
quality-peking547-b100000-transactional-t8,quality-peking547-cbt-a4,16,paired,0.3275074857174015,99999.0,110004.0,209346
quality-peking547-b100000-transactional-t8,quality-peking547-cbt-a4,23,paired,0.3275074857174015,99999.0,140913.0,209346
quality-peking547-b100000-transactional-t8,quality-peking547-cbt-a8,2,paired,0.227526219202572,99999.0,48.0,186454
quality-peking547-b100000-transactional-t8,quality-peking547-cbt-a8,15,paired,1.9698492909507688,99999.0,80193.0,1790800
quality-peking547-b100000-transactional-t8,quality-peking547-cbt-a8,16,paired,0.28426403095826397,99999.0,63132.0,176464
quality-peking547-b100000-transactional-t8,quality-peking547-cbt-a8,23,paired,0.24312806812638113,99999.0,85238.0,1192014
quality-peking547-b200000-classic-t1,quality-peking547-b200000-dod-t8,2,paired,0.0,200000.0,200000.0,0
quality-peking547-b200000-classic-t1,quality-peking547-b200000-dod-t8,15,paired,0.0006211565329746804,200000.0,199999.0,1786315
quality-peking547-b200000-classic-t1,quality-peking547-b200000-dod-t8,16,paired,0.0,200000.0,200000.0,0
quality-peking547-b200000-classic-t1,quality-peking547-b200000-dod-t8,23,paired,0.0,200000.0,200000.0,0
quality-peking547-b200000-transactional-t8,quality-peking547-b200000-dod-t8,2,paired,2.4158508920017925e-13,200000.0,200000.0,1786318
quality-peking547-b200000-transactional-t8,quality-peking547-b200000-dod-t8,15,paired,1.9918719198761548,200000.0,199999.0,1790794
quality-peking547-b200000-transactional-t8,quality-peking547-b200000-dod-t8,16,paired,0.07487790280796558,200000.0,200000.0,48306
quality-peking547-b200000-transactional-t8,quality-peking547-b200000-dod-t8,23,paired,0.07487790280796558,200000.0,200000.0,48306
quality-peking547-b200000-transactional-t8,quality-peking547-cbt-a16,2,paired,0.15998981527264908,200000.0,48.0,85461
quality-peking547-b200000-transactional-t8,quality-peking547-cbt-a16,15,paired,1.903045576647985,200000.0,45112.0,1774405
